client,place,date,amount
Nora Clark,Turkey,22/23/2023,$641.35
Ashton Moran,Vietnam,31/54/2023,$719.23
Ryan Richardson,Canada,7/48/2022,$505.48
Montana Skinner,Philippines,23/11/2023,$41.97
Olga Dalton,New Zealand,29/31/2023,$97.73
Keegan Larsen,Costa Rica,29/51/2023,$473.11
Kato Mayo,Spain,7/21/2022,$688.24
Ocean Wilder,Philippines,9/13/2022,$883.75
Ruth English,New Zealand,6/50/2023,$717.42
Ivy Cobb,United Kingdom,16/4/2023,$600.44
Joseph Dillon,Belgium,12/49/2022,$264.50
Elliott Perry,China,28/37/2022,$720.48
Amber Bennett,Australia,6/53/2022,$254.51
Octavia Dodson,Ireland,3/3/2023,$323.57
Driscoll Pope,Spain,28/3/2023,$67.46
Tasha Vance,Pakistan,2/9/2022,$433.01
Galvin Cote,India,11/15/2023,$257.53
Mara Mays,Spain,31/37/2022,$770.86
Shafira Casey,Nigeria,10/39/2024,$224.06
Britanney Hanson,Russian Federation,10/25/2023,$222.78
Rebekah Dominguez,Mexico,27/57/2023,$675.10
Leo Ballard,China,10/4/2023,$289.26
Gloria Robertson,Austria,19/52/2022,$156.80
Maite Heath,Germany,1/8/2022,$284.88
Damian Mcintosh,Norway,15/35/2023,$182.17
Reagan Nguyen,Chile,20/47/2022,$813.05
Phoebe Salas,Philippines,20/22/2022,$642.07
Emmanuel Pate,Russian Federation,20/34/2023,$72.84
Chanda Stanley,India,2/59/2023,$441.05
Kimberley Hicks,United Kingdom,1/20/2022,$471.09
Maxine Cooper,Philippines,17/49/2023,$279.13
Alden Petersen,Belgium,24/2/2022,$47.06
Desirae Montoya,Mexico,31/41/2023,$422.06
Hilary Jacobs,Russian Federation,20/14/2023,$638.46
Olympia Kinney,Turkey,24/59/2023,$554.09
Kelly Haynes,Vietnam,25/2/2022,$713.45
Octavia Frye,Spain,14/20/2023,$872.89
Joel Roth,Spain,15/38/2022,$203.06
Andrew Gardner,Costa Rica,16/55/2023,$72.53
Knox Bryan,Ireland,17/49/2022,$101.20
Naomi Bell,Brazil,16/26/2023,$25.51
Camden Erickson,Philippines,24/20/2022,$806.73
Madeline Ferguson,Nigeria,21/37/2023,$810.09
Zephr Delacruz,Austria,10/57/2023,$274.20
Demetria Ball,New Zealand,6/57/2023,$498.50
Minerva Sosa,Austria,31/7/2023,$149.65
Kylee Bray,South Africa,13/59/2022,$482.80
Natalie Joyner,Philippines,8/30/2023,$322.27
Farrah Jordan,Ukraine,12/56/2023,$206.25
Madeson Caldwell,Ukraine,22/35/2023,$500.77
Timon Delgado,China,12/26/2023,$485.47
Hasad Walter,Chile,5/28/2022,$408.08
Lamar Fuentes,Mexico,25/18/2022,$570.65
Erich Gill,Netherlands,26/51/2022,$405.53
Brielle Andrews,Ireland,2/31/2024,$387.07
Guy Robinson,United States,30/23/2023,$142.88
Vielka Hopkins,Ireland,27/45/2023,$469.44
Arsenio Fowler,South Korea,30/55/2022,$868.48
Deanna Spence,New Zealand,3/43/2022,$84.13
Alyssa Walton,Ukraine,6/17/2023,$184.82
Kimberly Jacobson,Brazil,19/12/2022,$321.97
Justin Glenn,Ukraine,3/10/2023,$740.59
Burke James,Mexico,23/53/2023,$73.76
Xenos Castro,Costa Rica,11/7/2023,$121.75
Chaney Malone,Italy,8/7/2023,$415.74
Kermit Lawson,Nigeria,25/17/2023,$185.07
Leroy Moses,Spain,29/14/2023,$225.25
Knox Morton,China,5/17/2022,$676.94
Delilah Adams,Pakistan,24/19/2023,$550.83
Iris Adams,Poland,15/1/2023,$884.60
Coby Schneider,Russian Federation,27/21/2023,$82.27
Gretchen Bailey,Canada,12/29/2022,$78.70
Dylan Avery,Australia,21/43/2023,$629.45
Nasim Lee,Chile,31/17/2022,$787.53
Cooper Montgomery,Australia,26/52/2023,$452.76
Barclay Fuentes,Australia,26/7/2022,$808.27
Harper Cole,Philippines,12/43/2023,$482.62
Kai Nielsen,Ukraine,9/9/2024,$253.14
Brennan Moon,United States,2/49/2023,$424.03
Nevada Solis,France,13/14/2022,$403.97
Jonas Turner,Sweden,24/20/2023,$817.95
Vernon Bowen,India,23/26/2023,$333.19
Mari Mccullough,Austria,18/48/2023,$897.45
Charlotte Anderson,Nigeria,15/3/2022,$151.32
Meghan Jenkins,Netherlands,13/30/2022,$319.92
Lucas Carpenter,India,24/41/2022,$501.57
Raven Witt,South Korea,27/51/2023,$695.58
Josiah Castro,Vietnam,8/14/2023,$818.46
Caryn Downs,France,16/12/2022,$55.87
Haley Anthony,Spain,9/26/2023,$618.80
Barry Hunt,Netherlands,16/33/2023,$597.38
Hilary Baxter,Pakistan,17/0/2023,$526.94
Xenos Garrison,Italy,1/47/2022,$197.28
Eve Levine,Colombia,26/50/2023,$825.13
Libby Rice,United States,2/29/2023,$256.34
Amanda Cervantes,United Kingdom,2/33/2023,$301.99
Germane Black,India,9/3/2022,$312.29
Veronica Guthrie,Nigeria,18/20/2023,$358.58
Abra Strickland,Vietnam,2/25/2023,$518.39
Dylan Foley,Peru,6/48/2023,$220.91
Kimberly Burns,Netherlands,24/45/2022,$566.93
Colorado Poole,Nigeria,29/25/2023,$484.29
Allegra Parks,Peru,27/14/2022,$649.30
Jerome Salinas,Indonesia,3/58/2022,$593.95
Leigh Osborn,Ireland,8/0/2023,$743.98
Matthew Fox,Brazil,16/8/2022,$483.27
Haley Jarvis,Italy,7/45/2023,$179.63
Abel Munoz,India,21/41/2023,$206.68
Chiquita Moses,Philippines,2/7/2023,$787.09
Sydnee Terry,Sweden,26/33/2022,$263.55
Malcolm Bruce,Colombia,24/53/2022,$559.93
Hamish Valencia,Peru,1/38/2022,$700.61
Barclay Ferguson,Canada,8/18/2022,$575.17
Phelan Burks,India,27/37/2022,$551.27
Hayden Kidd,Nigeria,31/24/2023,$315.93
Sasha Vasquez,Turkey,18/26/2022,$657.74
Silas Singleton,Singapore,9/43/2023,$218.41
Wanda Suarez,France,21/48/2023,$772.44
Myles Gonzales,New Zealand,5/44/2023,$338.81
Melanie Nolan,Indonesia,30/3/2023,$155.77
Orla Holmes,Vietnam,28/48/2022,$434.69
Karly Walters,Brazil,6/42/2022,$245.04
Declan Dominguez,Netherlands,17/37/2022,$396.12
Joseph Randolph,South Korea,11/48/2022,$378.53
Sawyer Duke,Costa Rica,3/37/2023,$452.97
Olympia Brown,France,30/32/2023,$586.51
Quinn Sherman,Chile,31/59/2023,$375.18
Xenos Sanchez,Austria,24/16/2022,$132.64
Rachel Hoffman,India,3/34/2023,$95.89
Yolanda Marsh,Poland,10/37/2022,$52.70
Jennifer Mcdonald,Pakistan,8/10/2023,$625.74
Flynn Pittman,Netherlands,26/4/2023,$21.44
Cairo Castaneda,Italy,13/23/2023,$391.08
Patricia Farrell,Ireland,3/21/2022,$237.24
Tad Gilliam,Nigeria,3/8/2023,$54.83
Macy Church,Brazil,30/16/2023,$244.38
Bryar Kennedy,Ukraine,20/14/2023,$486.19
Dennis Pennington,Philippines,1/35/2022,$654.34
Galvin Witt,Philippines,27/16/2023,$762.41
Rebekah Patrick,Pakistan,28/32/2023,$844.82
Alexa Mckinney,Poland,14/42/2022,$792.58
Emi Bauer,South Africa,4/6/2022,$120.79
Cassady Patterson,New Zealand,25/25/2022,$20.20
Igor Johns,South Korea,2/56/2023,$436.19
Mary Hester,Belgium,18/40/2022,$836.56
Dominique Conrad,Austria,21/47/2023,$875.96
Malachi Sandoval,Italy,6/13/2023,$331.32
Thaddeus Harding,United States,24/25/2022,$485.55
Arsenio Walls,New Zealand,25/2/2023,$126.11
Keegan Ruiz,France,14/3/2022,$506.48
Len Barlow,Poland,25/50/2023,$36.23
Vernon Cain,New Zealand,29/36/2023,$242.50
Kato Vang,Vietnam,28/26/2023,$233.80
Mohammad Daniel,Norway,12/58/2023,$411.53
Henry Mejia,South Africa,27/17/2023,$725.75
Keane Combs,Indonesia,19/25/2022,$814.41
Karly Kinney,India,30/16/2023,$805.42
Hadassah Rivas,Italy,19/21/2022,$27.15
Chastity Hogan,Norway,14/15/2023,$641.95
Russell Heath,United States,28/25/2023,$149.42
Hiram Lynch,Poland,27/2/2022,$164.69
Pearl Patton,Australia,6/57/2022,$413.51
Jonas Vazquez,Austria,1/1/2022,$464.44
Kameko Patterson,Germany,15/33/2023,$692.94
Kirestin Rose,Canada,27/25/2023,$733.01
Stone Johnson,Belgium,26/2/2022,$361.27
Aladdin Thompson,Ukraine,6/26/2022,$868.14
Ivan Buck,Belgium,28/13/2023,$880.72
Kyle Griffith,Colombia,13/5/2022,$217.34
Kirk Farmer,Brazil,22/47/2022,$262.18
Jeanette Terrell,France,30/51/2023,$895.38
Hasad Holmes,Mexico,22/34/2022,$614.65
Amos Adams,Chile,21/24/2023,$826.76
Ali Tucker,Norway,17/0/2023,$496.89
Howard Trujillo,China,11/3/2023,$136.11
Hayley Caldwell,New Zealand,31/2/2022,$232.33
Lyle Thomas,China,1/30/2022,$497.24
Buffy O'brien,Indonesia,19/21/2023,$788.63
Seth Buckley,Poland,20/16/2023,$164.32
Ishmael Pruitt,China,29/11/2022,$455.28
Nayda Fitzgerald,United Kingdom,18/0/2022,$319.34
Ferdinand Langley,Ukraine,28/53/2023,$345.75
Craig Calhoun,India,24/45/2022,$896.87
Kaye Vance,Costa Rica,18/43/2022,$875.48
Barbara Jensen,Netherlands,10/20/2023,$589.39
Cyrus Christensen,Australia,5/59/2022,$237.47
Aretha Henderson,South Africa,26/39/2023,$637.19
Rajah Hensley,Colombia,6/32/2022,$256.26
Ciaran Livingston,Russian Federation,22/33/2023,$139.85
Jena Randall,South Africa,3/20/2022,$493.43
Amy Cortez,Brazil,4/58/2022,$213.01
Brittany Donovan,Sweden,21/26/2023,$624.87
Helen Mercer,Philippines,25/33/2023,$498.90
Camilla Best,India,6/51/2022,$789.08
Rebecca Marquez,Turkey,8/21/2023,$153.24
Myles Cameron,Netherlands,18/17/2022,$849.28
Deborah Riley,Singapore,17/46/2023,$315.33
Kiona Thomas,Poland,19/31/2023,$300.98
Raymond Carey,Chile,11/1/2023,$802.59
Chantale Langley,Peru,11/16/2022,$803.08
Kay Cortez,Canada,1/31/2023,$333.31
Drake Bush,Poland,14/24/2022,$458.94
Eleanor Hill,Peru,30/3/2023,$382.10
Garrison Solis,Norway,12/34/2022,$33.56
Rae Lamb,Ireland,5/58/2022,$444.90
Risa Mcgee,China,4/50/2022,$116.07
Dorian Stephenson,Sweden,28/30/2022,$414.52
Rigel Shannon,Philippines,9/52/2022,$675.22
Herman Ochoa,Ukraine,19/30/2023,$632.96
Vielka Newman,Netherlands,28/7/2023,$485.44
Sean Alford,France,11/46/2022,$427.20
Oprah Joseph,Netherlands,11/59/2023,$52.54
Kasimir Montgomery,Mexico,9/49/2022,$841.44
Aretha Cervantes,Sweden,15/29/2023,$698.02
Lillith O'donnell,Colombia,27/22/2022,$148.95
Jillian Everett,Netherlands,28/47/2022,$222.56
Laura Glenn,Norway,16/20/2023,$489.59
Nora O'donnell,Brazil,25/34/2022,$397.86
Mallory Castro,United States,17/20/2024,$574.61
Jacqueline Parker,Spain,22/28/2023,$268.51
Riley Potter,New Zealand,25/36/2022,$374.92
Palmer Conway,Turkey,8/38/2023,$583.72
Cadman Faulkner,Turkey,6/4/2023,$636.01
Benedict Baker,Germany,19/37/2022,$254.02
Angela Fuller,Costa Rica,22/49/2022,$397.05
Kathleen Pena,Indonesia,26/13/2023,$448.48
Zeph Holland,Singapore,27/50/2023,$696.19
Palmer Roy,Ireland,30/20/2023,$844.08
Amal Mcdowell,Austria,3/59/2023,$865.39
Brenda Cash,Nigeria,30/9/2023,$169.84
Elliott Gross,Vietnam,3/40/2022,$770.79
Griffin Kelley,Sweden,24/41/2022,$500.14
Rhoda Humphrey,New Zealand,6/8/2022,$124.70
Mariko Campbell,Colombia,1/22/2023,$350.42
Neville Gonzales,Chile,12/20/2023,$449.58
Amena Robinson,Canada,14/32/2023,$46.32
Allistair Kirkland,United Kingdom,31/40/2023,$827.87
Hayley Valenzuela,Colombia,15/58/2022,$668.60
Calista Robinson,Russian Federation,16/28/2022,$296.18
Declan Vasquez,Vietnam,3/1/2022,$625.58
Merritt Blevins,Pakistan,19/6/2022,$145.81
Randall Banks,Philippines,28/28/2022,$764.68
Blake English,Sweden,20/14/2023,$801.10
Marny Hunt,Norway,25/9/2022,$638.57
Whitney Blackburn,Russian Federation,10/56/2023,$97.93
Gannon Morin,Nigeria,17/17/2023,$184.13
Raymond Rhodes,Colombia,7/26/2023,$111.00
Linda Lyons,Vietnam,20/5/2022,$896.82
Christopher Landry,Spain,7/59/2023,$692.76
April Grimes,France,28/31/2022,$756.42
Zane Lambert,Pakistan,8/28/2024,$647.18
Ramona Gallegos,South Korea,17/45/2023,$765.83
Brenna Nelson,Philippines,9/49/2022,$524.24
Lucius Paul,Netherlands,25/46/2022,$719.37
Ivory Romero,India,21/30/2023,$118.53
Kasper Torres,Australia,6/57/2023,$385.22
Magee Patton,Brazil,14/32/2022,$184.95
Aurelia Valentine,South Africa,13/42/2022,$209.56
Chava Snyder,South Korea,27/51/2023,$61.56
Ralph Rodgers,Ireland,13/30/2023,$849.25
Miranda Zimmerman,China,17/16/2022,$840.30
Ignacia Lowery,India,25/59/2022,$170.79
Claudia Cochran,Ireland,2/43/2023,$231.89
Baxter Jarvis,Indonesia,18/59/2022,$500.42
Brendan Wilder,Chile,28/27/2022,$660.82
Lila Payne,Germany,27/58/2022,$285.48
Kerry Kent,Singapore,9/14/2023,$897.76
Timon Dorsey,Australia,17/15/2022,$321.12
Lillian Carter,Brazil,17/40/2023,$892.20
Gavin Jackson,Nigeria,12/0/2022,$878.26
Deirdre Joseph,Chile,15/53/2022,$650.36
Lucy Cardenas,Russian Federation,18/17/2022,$244.72
Sheila Blanchard,Germany,4/6/2023,$45.15
Dacey Miranda,Colombia,18/49/2023,$549.64
Roth Higgins,Russian Federation,2/0/2023,$231.32
Alexa Willis,Spain,27/43/2022,$745.05
Myles Richard,Ireland,1/44/2023,$100.31
Sonya Francis,Singapore,27/1/2022,$729.91
Russell Cote,South Africa,4/5/2023,$870.06
Karen Payne,Russian Federation,20/39/2022,$497.39
Britanni Hewitt,Belgium,20/54/2022,$91.40
Ocean Mcmillan,Australia,29/35/2023,$189.45
Lucas Drake,Brazil,20/11/2023,$499.52
Jonas Fischer,Pakistan,9/20/2022,$613.93
Maggie Lynch,Singapore,29/25/2023,$871.93
Dillon Wilder,Costa Rica,30/5/2023,$525.09
Vincent Tillman,Singapore,30/29/2023,$728.05
Acton Puckett,Pakistan,10/20/2022,$645.02
Darryl Craig,Chile,2/15/2022,$708.24
Colette Baxter,Ukraine,7/53/2022,$895.73
Kenneth Rowland,Indonesia,6/41/2023,$287.49
Andrew Lewis,Mexico,4/22/2023,$404.16
Sonya Miles,Nigeria,27/37/2022,$264.54
Ina Phelps,Costa Rica,23/45/2022,$732.33
Susan Wade,Spain,1/29/2023,$401.64
Hoyt Terry,Netherlands,19/24/2022,$603.26
Samantha Watts,Ireland,14/22/2022,$567.66
Marah Sherman,Vietnam,24/16/2023,$761.25
Curran Rojas,Chile,25/53/2022,$347.74
Hamilton Shaffer,China,5/58/2023,$87.84
Mercedes Gilbert,Mexico,11/14/2023,$344.97
Lamar Bridges,Nigeria,26/24/2023,$185.71
Mariko Salazar,Ukraine,8/13/2023,$823.60
Maite Holmes,Brazil,6/25/2022,$693.93
Dillon Montoya,Belgium,11/3/2022,$288.73
Larissa Romero,Nigeria,14/39/2023,$154.79
Phyllis Ewing,Italy,11/2/2023,$434.80
Noah Lewis,China,1/0/2023,$888.61
Camden Mendoza,Mexico,3/20/2022,$641.92
Octavius Benjamin,Italy,16/17/2022,$309.58
Cara Cooper,Philippines,15/0/2022,$877.57
Dexter Ray,Norway,24/1/2022,$122.20
Mia Moody,Colombia,16/45/2022,$725.43
Lani Blevins,Pakistan,10/29/2022,$748.66
Bernard Dotson,Colombia,27/49/2022,$342.00
Heidi Booth,Sweden,25/20/2023,$253.99
Curran Michael,Canada,21/25/2022,$592.70
Cailin Summers,Singapore,12/44/2022,$821.05
Scarlett Mitchell,United Kingdom,17/26/2023,$751.22
Gabriel Hoover,Ukraine,7/17/2023,$701.87
Baker Rhodes,Colombia,26/55/2023,$747.35
Alden Deleon,India,21/15/2023,$841.51
Jack Steele,United States,1/30/2022,$404.50
Rigel Larsen,Canada,24/7/2022,$737.29
Nigel Preston,New Zealand,6/27/2022,$351.74
Cherokee Riggs,New Zealand,8/33/2023,$165.62
Xavier Patel,Philippines,8/30/2022,$478.59
Mannix Combs,Indonesia,3/24/2023,$369.47
Keegan Mooney,Belgium,10/38/2022,$217.44
Thane Mcfadden,Ukraine,8/6/2023,$648.11
Emmanuel Oliver,Spain,5/9/2022,$893.71
Jenette Holt,Belgium,29/37/2023,$621.25
Belle Jones,Spain,30/58/2023,$242.92
Basil Cunningham,Vietnam,14/1/2023,$117.73
Tamara Marquez,Turkey,23/40/2023,$401.38
Gwendolyn Wise,Sweden,6/43/2023,$676.73
Yuri Matthews,Singapore,9/53/2022,$831.89
Odette Cherry,Ireland,18/54/2023,$320.68
Allistair Ayala,Pakistan,19/28/2022,$664.24
Lavinia Bray,South Africa,17/34/2023,$660.52
Otto Harrington,Brazil,8/18/2023,$668.72
Armand Shaw,China,18/1/2022,$43.53
Xena York,Pakistan,20/17/2022,$456.31
Charde Ewing,Philippines,15/53/2023,$248.50
Hoyt Dodson,United States,9/18/2022,$819.29
Wing Bentley,Austria,21/59/2022,$171.91
Aiko Holmes,Pakistan,5/50/2022,$65.88
Hammett Hanson,Nigeria,15/3/2022,$270.59
Ferris Head,Canada,21/7/2023,$380.52
Justina Herman,Nigeria,13/50/2023,$147.36
Emery Reid,Chile,24/51/2022,$154.00
Wanda Mclaughlin,Belgium,11/39/2022,$793.80
Scott Everett,Mexico,7/16/2023,$282.21
Basia Meyer,Turkey,26/59/2023,$242.01
Maryam Finch,South Korea,1/5/2022,$619.52
Pearl Salas,France,6/16/2023,$757.46
Kitra Williamson,Colombia,27/23/2022,$430.40
Flynn Mcleod,Sweden,3/43/2023,$124.31
Omar Owen,China,9/29/2023,$69.65
Kaitlin Johnson,France,30/19/2023,$299.55
Noel Alvarez,Spain,8/15/2023,$769.11
Rigel Molina,Nigeria,24/7/2023,$302.76
Allen Head,Turkey,7/10/2022,$885.01
Kareem Branch,Indonesia,3/35/2023,$593.95
Thomas Gibbs,Philippines,7/51/2022,$648.29
Roanna Foster,Singapore,9/53/2023,$696.19
Tyrone Jacobson,France,3/9/2022,$667.08
Philip Robinson,New Zealand,2/56/2022,$36.29
Caldwell Simmons,Italy,18/24/2022,$651.46
Jacob West,Poland,9/0/2022,$845.20
Jonas Sheppard,Poland,17/15/2023,$502.66
Steel Chaney,Singapore,22/53/2022,$122.77
Dorothy Macdonald,Nigeria,14/20/2022,$105.65
Signe Miranda,Austria,28/57/2023,$332.15
Acton Burch,Indonesia,12/45/2023,$296.29
Cameran Barry,Colombia,3/42/2022,$229.92
Yoshio Lindsey,South Korea,19/40/2022,$499.03
Sylvester Boone,Singapore,18/31/2023,$187.93
Kirsten Schneider,South Korea,6/0/2022,$275.99
Kessie Snow,Philippines,4/32/2022,$856.57
Alden Hampton,Austria,25/25/2022,$358.72
Laura Guerrero,Nigeria,19/49/2023,$291.14
Demetrius Grimes,Italy,28/21/2023,$683.43
Hasad Irwin,Pakistan,20/45/2022,$55.42
Rahim Rosario,Italy,5/48/2022,$61.34
Yael Webb,Brazil,1/19/2022,$588.97
Stephen Dale,Philippines,25/56/2023,$257.88
Oliver Kelly,Australia,9/44/2023,$194.49
Iola Valentine,Philippines,22/33/2023,$762.34
Athena Reid,Canada,12/23/2022,$483.52
Todd Austin,India,14/8/2022,$645.03
Kitra Potter,Germany,17/59/2022,$85.51
Todd Alford,India,28/58/2022,$728.28
Dillon Carr,Brazil,3/30/2024,$397.14
Priscilla Alston,South Africa,3/8/2022,$85.70
Brock Love,Russian Federation,17/59/2023,$22.32
Mary Holland,France,28/9/2022,$52.62
Kuame Preston,Ukraine,18/52/2023,$214.38
Hadassah Pearson,Mexico,26/33/2023,$215.63
Bryar Dixon,Russian Federation,27/7/2022,$262.59
Nita Ayala,France,21/12/2023,$838.76
Conan Henry,Mexico,20/46/2022,$113.74
Cassidy Stevenson,Poland,7/50/2022,$50.40
Rowan Ochoa,Colombia,19/29/2023,$412.99
Merrill Hoffman,Brazil,1/47/2023,$89.00
Hope Talley,Netherlands,27/51/2023,$313.27
Riley Chase,South Korea,3/21/2023,$886.33
Duncan Saunders,Austria,2/22/2022,$61.30
Julian Peters,France,21/41/2023,$124.58
Orla Ellison,Ukraine,6/46/2023,$744.29
Demetria Alford,Ukraine,19/20/2023,$296.94
Matthew Mcleod,Netherlands,28/14/2023,$331.09
Oscar Gilmore,Nigeria,18/22/2023,$818.07
Oren Velez,New Zealand,20/13/2022,$151.08
Martha Vang,New Zealand,20/44/2023,$305.63
Rogan Nolan,Singapore,17/58/2023,$159.25
Adam Benson,India,13/15/2023,$887.70
Zane Payne,Chile,17/29/2022,$530.34
Channing Flores,Brazil,17/50/2023,$345.66
Malik Atkins,Russian Federation,22/59/2022,$276.60
Zane Willis,South Korea,18/0/2023,$583.23
Fitzgerald Chavez,India,18/47/2022,$409.56
Grace Waller,Philippines,20/51/2022,$344.36
Kiayada Fulton,Colombia,29/36/2023,$626.52
Lila Harrington,France,5/13/2023,$29.86
Abra Bowman,Peru,27/53/2023,$871.25
Raphael Solomon,Nigeria,24/9/2022,$373.41
Tatyana Herrera,Turkey,7/21/2023,$686.94
Nevada Marsh,South Korea,12/46/2022,$856.66
Arthur Roth,China,25/20/2022,$663.45
Katell Clarke,South Korea,10/46/2023,$460.36
Ursa Baxter,Sweden,3/53/2023,$290.25
Brynne Huffman,Indonesia,8/59/2022,$439.66
Christine Hinton,Ireland,17/44/2023,$150.60
Beverly Jordan,Mexico,9/6/2022,$458.18
Aurelia Wade,Spain,25/49/2022,$714.01
Mona Colon,Singapore,21/13/2022,$198.33
Emi Allen,Sweden,27/10/2022,$893.45
Macey Ray,Norway,5/1/2023,$879.69
Cassandra Flynn,Costa Rica,5/9/2023,$556.89
May Hart,United States,21/24/2023,$782.24
Jacqueline Wagner,Chile,27/45/2023,$165.20
Troy Rowland,South Korea,25/42/2022,$880.60
